PRICE,FLOOR,BEDROOM,BATHROOM,ROAD,LAND,AGE,Cities,LAND_squared
1.6,2,5,3,12,2.2,21,3,4.840000000000001
2.8,3,5,5,13,3.3,9,0,10.889999999999999
4.0,3,10,4,16,4.0,5,3,16.0
2.25,2,4,3,20,3.2,11,3,10.240000000000002
2.9,2,4,3,15,4.0,5,4,16.0
2.65,2,4,2,20,3.0,6,3,9.0
3.0,4,6,6,13,4.0,21,3,16.0
5.55,3,6,6,20,6.2,3,3,38.440000000000005
3.38,2,4,3,13,3.2,12,3,10.240000000000002
2.9,2,5,5,13,5.0,6,3,25.0
2.6,2,5,3,13,3.2,6,4,10.240000000000002
3.25,3,6,3,18,3.2,21,3,10.240000000000002
4.5,3,7,6,13,5.1,15,3,26.009999999999998
1.55,2,4,2,4,4.2,9,4,17.64
2.75,2,6,4,10,3.2,13,3,10.240000000000002
7.3,2,4,3,20,6.4,13,4,40.96000000000001
2.5,2,4,3,16,5.0,16,3,25.0
3.2,2,5,4,13,4.0,3,3,16.0
3.9,2,4,3,26,4.0,16,3,16.0
6.0,2,6,4,13,9.0,16,4,81.0
4.6,2,6,5,13,7.0,6,4,49.0
4.95,3,8,7,12,8.2,13,3,67.24
2.8,3,8,4,13,5.0,19,3,25.0
6.0,5,10,6,24,6.0,9,3,36.0
2.15,3,3,3,13,2.3,2,4,5.289999999999999
2.15,3,4,3,12,3.0,16,3,9.0
6.0,3,5,4,13,10.2,5,3,104.03999999999999
3.8,2,7,4,13,4.2,5,4,17.64
2.75,2,5,4,13,4.0,5,3,16.0
5.8,3,8,3,20,6.0,13,3,36.0
4.25,3,7,3,20,5.0,5,4,25.0
2.75,3,8,3,12,3.3,21,3,10.889999999999999
5.0,2,3,3,20,6.0,3,4,36.0
3.9,2,6,4,13,4.3,6,4,18.49
4.25,2,3,3,14,4.0,5,4,16.0
5.65,2,4,5,20,4.1,16,3,16.81
3.1,2,4,3,13,4.1,5,3,16.81
2.25,1,6,3,16,3.0,11,4,9.0
4.5,2,4,3,16,7.0,8,4,49.0
2.2,2,5,4,13,3.0,5,4,9.0
4.5,2,4,3,13,4.2,13,4,17.64
2.0,2,4,3,13,2.5,5,4,6.25
5.5,2,3,3,13,4.0,21,3,16.0
3.6,2,7,7,20,12.0,6,3,144.0
3.7,2,4,3,14,3.2,5,3,10.240000000000002
3.4,3,6,4,13,4.0,13,3,16.0
5.75,2,4,3,12,9.0,6,3,81.0
6.75,2,5,5,15,6.0,5,3,36.0
2.2,2,6,3,10,5.0,3,3,25.0
2.3,2,5,5,13,2.3,5,4,5.289999999999999
1.5,1,2,1,10,3.1,21,3,9.610000000000001
1.68,3,3,3,20,1.1,32,3,1.2100000000000002
1.73,2,1,1,15,3.0,11,3,9.0
2.2,2,6,3,10,5.0,7,3,25.0
3.1,2,5,3,13,3.8,6,3,14.44
2.99,2,5,5,13,4.0,5,3,16.0
2.1,2,5,3,10,3.0,3,3,9.0
1.3,1,2,1,13,4.2,5,3,17.64
1.85,1,2,1,16,5.2,32,3,27.040000000000003
1.7,1,2,1,20,4.0,32,3,16.0
6.0,5,1,1,33,3.0,11,3,9.0
2.65,2,6,4,13,3.2,6,3,10.240000000000002
1.95,2,5,4,13,4.0,5,4,16.0
2.3,2,3,2,27,3.0,5,3,9.0
3.25,2,5,5,13,4.0,5,4,16.0
2.6,2,4,3,10,4.0,8,4,16.0
